speed_kmh,slope,distance_km,energy_wh,wh_per_km,road_type
23.91,7.696,2.5305,6186.6416,2444.7863937464062,1
106.83,-0.307,36.7159,10983.1932,299.14025835598585,1
34.49,2.848,17.5755,6779.4156,385.73046624327696,1
44.13,-4.873,17.0105,7486.7883,440.1275664412367,1
6.97,5.312,35.821,7831.2029,218.62046571452962,3
13.38,-2.069,16.1697,4923.8305,304.5099010213958,2
61.9,2.215,5.9888,7455.5357,1244.9060739566723,2
32.11,-1.847,20.2851,7166.68,353.29840774141815,2
100.26,-4.647,41.2098,9205.9166,223.39134536517304,2
45.49,1.373,27.7686,7271.3074,261.85366961156035,2
40.48,1.377,6.6997,5714.8192,852.9913491191423,2
14.92,9.208,18.9976,4835.628,254.53865302747502,3
49.64,-4.947,32.9284,9036.6706,274.43413038468816,2
59.14,8.373,13.8219,7141.4033,516.6742560701084,1
48.51,6.054,22.342,7405.3086,331.4525936686362,2
63.71,-2.419,24.6174,8595.1558,349.14943171613277,1
71.42,2.083,42.0804,9757.7774,231.88422213282095,3
55.69,4.655,0.2171,6442.7611,29672.94504187829,2
115.62,-3.089,20.7546,10075.7736,485.47281661794307,3
62.28,1.865,32.8389,9143.3559,278.4302778602375,2
81.31,2.023,42.6346,11686.6477,274.11201840386434,2
37.42,7.034,2.54,6632.5747,2611.250509851805,1
92.88,8.742,31.4496,10426.6763,331.5361499594085,2
92.75,-3.766,42.1168,10808.7831,256.6384458447284,2
62.56,-0.289,12.8283,7076.1158,551.6022745817149,3
117.12,-0.523,10.3423,11838.0949,1144.6298482492377,1
15.07,9.941,23.4457,6338.7441,270.3586715217874,1
92.42,8.197,34.675,12352.4861,356.23576139329595,3
96.86,1.39,21.2818,9477.5617,445.3363896372924,1
14.42,5.841,1.1411,4901.1107,4295.2497952578815,3
31.87,-0.701,27.8806,7710.1305,276.5408480676334,1
35.2,1.827,9.3671,6802.6587,726.2280611771583,1
92.78,7.056,25.0574,10373.4543,413.9878154285338,1
62.16,-1.163,17.135,8906.7347,519.7979622138763,3
41.77,5.404,2.0324,6178.6978,3040.1566369127963,2
44.61,1.077,36.3028,9141.1278,251.8026239230686,2
35.98,1.195,30.9797,7880.8918,254.3889887072936,1
77.58,3.25,42.057,10405.5862,247.41656394430242,3
116.9,-2.724,10.2388,8935.1408,872.6781051434928,2
101.65,-2.241,14.3815,8420.4008,585.5039980452116,1
107.83,0.141,3.1027,8404.2596,2708.6559165301596,1
93.98,1.611,44.1889,13389.4428,303.0044278585077,2
93.65,1.912,24.5824,10244.2119,416.73007713094364,2
54.96,-2.899,16.3007,7002.025,429.55374893340354,1
47.76,-2.282,23.9504,7412.9487,309.5128305675769,1
36.35,7.722,16.324,6068.3855,371.7467314886172,2
7.88,-2.559,14.3845,4321.714,300.4414893544234,2
27.39,4.989,22.4561,5718.0079,254.63027059185097,1
29.59,1.278,24.147,5649.0209,233.94255161341295,3
58.09,9.524,21.7239,7246.205,333.5585799203294,3
89.69,-4.008,27.4418,10665.4106,388.65629128673436,3
56.86,7.456,39.1906,9406.5088,240.01943998515722,2
6.94,2.372,2.9577,5003.8596,1691.817538108694,3
114.93,-4.92,40.5948,12076.8551,297.4977179853122,3
113.13,-1.045,11.5039,11675.0985,1014.8847591979974,2
94.22,1.115,12.6794,7601.0207,599.4762219650241,3
118.96,-0.287,30.0134,10810.3437,360.1841757670374,1
65.34,0.437,48.786,10310.3177,211.3376407727831,2
115.53,8.75,0.9682,7563.236,7811.430558063209,1
9.07,0.414,33.6894,7378.9866,219.03014130072938,3
43.88,1.282,34.8752,8177.6385,234.48310987291583,1
27.05,6.417,28.7252,7393.1142,257.37358947923724,2
23.5,6.908,0.5835,5454.7195,9347.68874224111,3
16.9,-3.739,30.357,7158.1081,235.79796273344252,2
74.69,5.561,5.8396,6542.5401,1120.3817443218857,3
93.76,2.239,3.9956,9689.1731,2424.974267361622,2
69.4,-2.992,34.8335,11374.7701,326.5471131088143,2
17.64,-1.029,35.0417,6489.4379,185.19184679707163,1
97.33,-4.324,44.5066,12368.7081,277.90726607731904,2
76.31,0.404,0.2687,7792.6343,29002.820082807986,2
46.58,-1.169,19.0001,8201.6268,431.66191709614384,1
80.9,0.732,0.7124,8609.1081,12085.117063179012,3
31.19,3.705,18.2967,6697.3714,366.0433662755573,3
41.42,5.985,24.6337,9601.3893,389.76593758919967,2
110.1,4.08,26.5335,12653.0642,476.8715517403776,1
34.86,5.176,17.861,6172.6398,345.5923578441311,3
56.4,7.985,36.2925,10487.0105,288.9577580772988,1
106.82,8.107,20.8382,10558.4914,506.68954977185217,2
84.93,7.911,25.9046,9946.4892,383.9659225376681,1
7.46,-2.702,40.0244,7089.2506,177.12334720108248,2
17.68,-1.234,8.7977,6303.3475,716.4760953031899,3
75.71,0.381,26.1193,10125.5891,387.66638954593844,3
53.72,-3.025,38.4041,7977.2753,207.71909847643983,3
16.11,-0.684,21.3252,6517.7229,305.63427033555064,1
114.95,9.631,3.7311,8571.4353,2297.317871904651,1
63.56,0.204,49.4426,9167.8732,185.4244146161582,1
29.03,1.284,35.4247,5985.3242,168.95884967748944,2
60.07,-4.904,36.1645,9581.4875,264.94191523129075,3
81.55,5.791,23.3087,9162.5675,393.0958719734621,3
9.15,1.203,27.3973,5784.0145,211.1162328774381,3
32.96,-3.453,49.703,7505.0228,150.99732738160935,1
96.84,9.528,29.7963,12594.4079,422.6839926998088,1
55.16,6.661,11.0246,7651.4007,694.0310123987075,3
65.59,5.892,48.2225,11613.5818,240.8330133425789,2
51.94,9.368,26.9344,9413.4013,349.49418118832165,1
5.27,1.112,1.1316,4619.3859,4082.1716648270517,3
19.89,5.778,28.7102,5869.6882,204.4458160487224,3
53.46,-1.907,3.6167,7017.2727,1940.224369812089,3
25.1,5.457,26.4267,6915.0638,261.6700195418492,2
6.0,-4.789,41.2841,5146.8971,124.67035131570772,3
101.24,-3.105,26.9894,9122.3492,337.99707888993765,1
117.74,1.379,18.7353,10741.4871,573.3281496183964,2
95.18,-4.819,44.1422,11236.7351,254.55750481054827,2
102.45,1.929,46.3867,12701.0972,273.80876271496413,3
29.04,2.842,17.4398,5058.6223,290.0619434268529,1
115.28,4.324,24.9976,11475.5634,459.06579546772025,1
23.63,-3.494,49.1478,8502.3124,172.99469135112597,3
114.17,-2.285,8.9872,9779.1481,1088.115663683369,3
119.38,4.199,14.9778,10787.7623,720.247891664403,1
85.41,4.873,21.4783,10081.345,469.373934811642,2
117.74,-4.611,5.1343,9519.905,1854.1683848876887,2
68.34,3.106,13.6749,6768.2903,494.9417071501416,3
31.15,6.775,27.28,6731.5362,246.75750496577368,3
52.44,-3.963,11.5021,7790.486,677.3126356854061,1
71.23,1.198,34.3456,8540.7706,248.6713138123983,1
8.77,-0.102,17.4488,5571.9522,319.3314144896213,1
74.68,8.705,4.5808,7586.8044,1656.2300229402226,1
117.74,-2.213,38.2502,11944.4229,312.2708794034867,3
22.81,-0.225,28.4141,5627.0687,198.0380828077392,3
95.11,8.477,41.261,10718.2357,259.76689022999295,1
108.95,-0.04,18.0716,11061.3027,612.0832520419954,3
113.24,2.97,1.067,9499.9197,8903.110181769105,3
115.22,-4.504,2.4298,10107.4199,4159.850012897635,1
62.58,9.774,39.7929,10368.8135,260.5691337737348,2
117.28,7.374,20.591,10344.2876,502.36944940869597,2
90.88,4.516,48.8216,12651.6499,259.14017091522317,1
19.4,-4.089,41.5324,8114.8227,195.3854128899699,2
57.23,-3.877,0.9045,6025.25,6661.54811151018,3
86.2,3.175,43.512,11461.7201,263.41508028271767,2
29.68,-0.724,10.722,5886.6351,549.022851993723,1
76.87,4.342,24.3646,9223.0462,378.5425842414102,1
79.99,3.973,25.3555,8888.0204,350.53680911997895,2
19.52,7.58,3.0801,5714.2429,1855.2206773748367,2
67.81,-0.779,6.3707,7163.8704,1124.5000760592106,3
92.6,3.668,21.2101,9600.1534,452.62252771942076,2
59.87,6.66,32.1668,9580.9123,297.851131451718,2
42.84,-3.031,19.0189,7101.6778,373.40195332730764,2
111.14,6.008,31.5551,11785.6698,373.49446800264207,3
27.44,9.145,21.2794,5128.3391,240.99993174608838,3
76.12,-0.022,42.5965,9913.1701,232.72268944496008,1
26.65,0.495,49.1888,9128.6375,185.58354915367886,1
38.6,-3.747,45.6613,7752.1529,169.77517420741583,3
101.77,4.622,8.5134,9161.1896,1076.0967418198234,3
87.46,3.287,22.9132,10065.3006,439.28021652397064,3
11.45,-4.395,22.995,7547.3325,328.2161813152727,1
51.44,6.283,42.0393,9556.8973,227.33260173013807,3
57.71,8.607,27.5251,8838.6565,321.11221348931787,1
79.49,3.186,30.503,10111.5638,331.4938338572203,3
14.22,1.789,5.6649,4387.0297,774.4249063206173,3
34.67,8.142,27.9423,7277.8772,260.46129133272586,3
47.74,0.98,12.4174,6639.8564,534.722375702841,1
110.34,4.832,10.4102,11287.2803,1084.2538494455982,2
119.19,4.23,12.5907,9363.8644,743.7099665544612,3
5.39,0.582,5.0577,4998.9823,988.3973309077729,2
91.32,-3.697,3.5795,7936.7117,2217.2437914746447,2
44.61,-4.679,32.3786,7663.0613,236.67032406957952,2
47.09,1.424,47.0548,9104.4481,193.48587823667478,2
90.51,2.218,34.4312,9911.6962,287.8697691972232,2
110.21,7.34,15.6616,10502.9609,670.6188580019341,1
114.11,1.216,16.8188,11725.8293,697.1848038150976,1
69.25,-0.783,27.1153,10011.3407,369.2134295360202,1
42.85,1.931,43.3285,7854.8126,181.28527940042122,2
94.51,-1.43,10.203,8147.2947,798.5210035004417,1
30.12,-3.63,23.4787,5178.2223,220.5496269076379,3
67.69,-3.304,24.9974,8337.5563,333.5363860953599,2
43.03,-0.213,46.5681,8841.4274,189.86033826963535,3
78.8,-4.81,26.854,9917.1583,369.2987168670508,2
28.85,-1.697,39.0648,5864.3533,150.11842057852564,2
22.99,6.813,4.4813,5670.9549,1265.4768913700573,2
110.19,-1.481,16.4135,10974.7135,668.6399225259115,2
12.22,-3.339,30.61,6221.9985,203.26665716519963,3
60.71,9.236,33.9141,9682.5969,285.5033018408274,2
26.5,4.337,44.2721,7656.4819,172.94152008860547,2
21.03,4.182,27.0009,6656.9392,246.54551913339654,2
104.01,3.102,35.6053,11255.8361,316.12768676154786,2
33.9,-3.974,39.2388,6072.5126,154.75775661142399,2
114.06,-1.635,47.2348,12436.0918,263.28265553939053,2
69.79,8.936,9.6186,8163.817,848.7569543960634,2
52.39,3.58,33.0812,8990.5366,271.77207909199785,3
69.61,1.605,10.0954,7741.6151,766.845272911919,3
62.0,-1.248,15.9618,8602.2171,538.9242668164176,2
91.05,-2.995,7.2239,8787.3848,1216.4240599591453,3
33.9,1.039,38.6724,8637.5147,223.35095286336158,1
42.37,8.835,45.7086,9263.3058,202.6601254957976,1
107.29,-4.269,1.5934,9540.9697,5987.628247071522,2
113.57,9.865,40.6941,11184.0925,274.83359987072726,2
107.11,-1.883,12.1636,9370.1579,770.3445392616528,3
50.33,1.132,24.3998,8158.1785,334.35481828368734,1
93.64,-4.324,37.4361,10184.6493,272.053959687278,2
57.16,3.772,25.392,8283.3358,326.2179349303412,1
59.7,2.253,11.6394,5829.3432,500.8297926567454,3
24.56,5.001,45.3177,7939.3701,175.1937021325692,2
70.94,3.14,29.7198,8666.4247,291.60466360242503,2
22.34,0.973,46.5697,8888.7758,190.87055803971379,2
39.79,6.066,42.3474,8542.3957,201.721833510858,1
102.6,-4.625,43.8417,11777.1756,268.629393880031,3
24.85,3.115,18.1495,6504.7712,358.40015303666365,1
8.54,-3.292,49.367,8301.1496,168.15170758930287,1
8.28,1.54,42.6345,8365.9852,196.22578929912333,2
112.89,6.867,16.9466,12335.3488,727.8956775809819,3
60.83,-2.863,44.8311,10670.0908,238.00630580957144,3
49.13,9.037,37.7891,9351.9302,247.47684311522562,2
97.31,8.328,36.2843,9386.8563,258.7027066367512,3
100.3,1.224,0.4107,8605.6942,20955.308097267676,2
39.86,-4.91,1.2261,4669.9384,3808.6530264451094,2
83.23,6.846,34.7701,9830.3145,282.7228309430373,3
92.53,8.213,14.0063,10953.2079,782.0195899768814,3
78.56,-2.379,3.0201,6009.7394,1989.9367542670723,3
18.19,8.743,14.369,6806.1281,473.66887271738676,3
105.11,8.711,41.9117,13883.9657,331.2671986935457,1
64.69,2.069,23.5835,7738.5553,328.13390065446544,2
33.9,6.971,30.8174,6107.9876,198.1992826022462,2
51.03,1.674,40.0452,7134.3988,178.15856200475207,2
15.34,-0.202,0.6562,2941.5662,4482.859083956482,1
91.87,-2.608,16.2337,10928.6286,673.2053501484669,3
49.99,-4.979,24.166,9074.4604,375.5049475315965,3
62.7,3.693,28.5334,8567.4009,300.25868167678897,2
6.56,7.97,38.0454,6775.8982,178.10020957863014,1
116.77,-1.681,5.8352,9174.2661,1572.2347983413736,1
27.14,-0.007,36.7234,6902.9015,187.97008546403177,3
36.5,3.812,14.9579,6962.6676,465.4828406974418,2
36.47,-1.297,19.4693,6028.2773,309.6305504103527,3
27.65,7.712,13.5475,5458.0403,402.88041645863586,2
87.52,3.724,18.1369,9670.1716,533.1759885513964,3
116.02,-1.608,4.8225,10178.1057,2110.552705791685,1
26.92,-4.379,42.2544,7818.5021,185.03392315671243,2
79.57,-2.394,15.3667,9178.1731,597.2758854458574,1
89.03,-4.307,32.7155,10715.6365,327.54000789220896,1
101.81,2.029,14.9051,9343.4725,626.8637843105795,3
50.72,3.8,10.6141,7343.8867,691.8970757975941,2
36.35,-4.33,35.7115,8853.7463,247.92430856603252,2
39.04,-3.643,31.2378,7102.7624,227.37723373261005,3
85.51,2.283,10.9834,9447.9329,860.198287059848,3
98.01,6.988,30.6436,10343.3964,337.53857706976976,3
21.79,4.42,0.3496,4333.2647,12395.499243443213,2
44.51,-3.429,8.928,6795.5498,761.146981054274,3
108.23,8.313,36.4149,12821.8807,352.10511003234404,3
96.8,8.762,20.5665,10289.3594,500.29661360147884,1
118.18,-0.126,10.2611,10778.5824,1050.4333726454215,3
90.51,4.24,25.3452,9590.7799,378.40575870610087,3
47.18,2.385,23.3143,6901.989,296.04065377020646,2
70.88,9.13,31.7334,9868.4961,310.98116219093754,3
79.32,2.631,3.7197,7818.8693,2102.037481516016,2
9.41,9.399,40.9855,7576.9536,184.86891795840486,1
65.34,-2.01,3.008,7988.4978,2655.740646125377,1
85.12,0.183,22.7474,9402.2463,413.33318502867525,2
20.08,6.72,35.5526,7497.1379,210.87450802862048,3
93.68,6.754,17.3061,9242.0556,534.0354721427452,2
70.05,5.983,45.5149,11509.2102,252.86678546217652,3
114.27,7.894,37.7861,11656.9142,308.4976626691715,3
5.09,5.538,21.3598,6156.8706,288.2457246727083,3
31.84,4.541,9.2729,6213.1009,670.0251307802727,2
72.19,1.884,2.2676,6505.5952,2868.9322382679743,1
35.59,2.006,40.103,9001.8798,224.4687078569199,2
85.73,1.092,9.7943,7648.5794,780.9227049300098,3
91.08,4.303,13.5567,9690.8037,714.8328272909821,2
12.3,1.1,0.6179,4950.8107,8012.572270102196,1
61.66,-2.788,1.0095,7807.9724,7734.329475279068,2
61.07,-3.402,11.5979,7963.4043,686.6258688069918,1
44.31,8.867,43.6561,7632.6081,174.83470893002112,1
111.95,-4.629,39.0631,13000.2259,332.8009250312735,3
99.3,-3.418,38.5167,11340.1771,294.42258613341073,1
83.67,1.68,41.369,9873.3255,238.66463116629583,2
85.72,-1.056,9.412,7178.1503,762.6580203726782,2
55.41,1.088,48.9554,9366.44,191.32614703064016,3
110.52,-3.238,11.6864,9562.322,818.2427347820928,2
83.35,-3.036,7.5815,7059.8358,931.1925331277346,3
87.48,7.01,14.8028,8200.3642,553.9749742422727,2
103.4,6.387,26.5696,10323.9686,388.562874953925,2
32.89,-3.436,6.3091,5422.7315,859.5111621774498,1
96.85,5.017,36.9572,10235.3176,276.9506523874965,1
23.43,4.14,18.6392,6492.4864,348.32464656136847,1
41.44,5.7,28.464,7865.3548,276.3265489308875,2
40.27,2.117,36.7384,8125.6932,221.1772455419212,3
117.42,-0.95,45.1045,14545.9201,322.49378007804097,3
102.78,4.955,40.9854,12961.2016,316.2393755174841,3
84.14,0.57,26.9197,9461.9137,351.4867675656409,1
87.25,-1.716,49.5595,13334.368,269.05760867864257,2
67.45,1.129,26.534,8780.6375,330.92041427327047,1
113.65,6.449,26.845,11696.5263,435.7057775229904,2
59.55,2.137,8.0086,9271.0843,1157.646722115316,2
45.66,-0.502,7.5212,6261.0322,832.4562419847354,2
19.56,7.478,8.5182,5199.7881,610.4337250897488,1
94.34,8.225,29.6319,9710.9419,327.7193327841961,2
88.13,1.499,20.8171,10082.5611,484.34082977885606,1
46.12,0.62,19.3556,7239.4163,374.0210884442611,1
100.68,-4.13,19.1164,10907.3232,570.5740793677486,2
84.44,6.734,31.0786,9882.3454,317.97872234420515,1
116.43,0.962,19.4816,11563.1724,593.5419199866706,2
52.52,-2.381,20.9962,8033.2919,382.60649707056393,2
28.2,-4.568,13.6999,5814.2485,424.40099339282,3
84.58,4.559,6.662,9589.3922,1439.4066602526536,3
98.06,-0.965,15.0705,7650.5592,507.64986480810023,3
65.57,1.958,2.234,5737.3832,2568.221882735439,2
116.04,0.795,10.2651,9267.1824,902.7829869066013,1
6.2,-2.377,16.3151,4727.1409,289.7397463646652,3
60.58,2.626,7.3677,8140.9615,1104.9454036731322,1
86.21,1.894,33.282,9647.5201,289.8721286992047,3
103.52,4.362,14.1102,11921.1794,844.8640437852927,3
21.51,-1.222,30.8148,6390.9835,207.39962974933454,1
96.0,-1.78,32.2299,11182.356,346.95604907318284,3
66.32,7.215,22.4197,9528.0036,424.98382828879204,1
47.59,5.533,22.5104,6945.4825,308.5453363294609,2
15.81,6.583,29.115,7025.8952,241.31517050190988,2
103.84,-3.151,13.1966,8355.2823,633.1403540827902,1
18.87,-1.639,1.1601,4526.1346,3901.42359673153,1
37.17,3.633,32.2867,7322.0799,226.78296931882315,2
34.81,7.858,30.4654,8676.0695,284.7842055864078,1
104.57,8.382,23.8714,10517.3976,440.58542450492644,2
80.72,7.479,43.8007,10264.1681,234.33797094721504,2
95.6,-4.349,25.4804,9849.8793,386.5672169273006,1
30.06,7.313,15.2444,5783.9283,379.4137200591732,3
74.98,8.486,35.7053,10286.1665,288.0853904119941,1
68.61,-4.149,48.1239,11629.2021,241.65110259879373,2
99.94,1.244,36.8703,11275.0452,305.80327505182373,3
108.73,3.049,45.4515,11804.7779,259.722461652382,3
80.88,2.75,6.1372,8798.4181,1433.6166847107427,3
6.22,8.289,7.8148,4695.0347,600.7856721050929,3
65.86,8.004,35.1724,10731.7459,305.1180683623036,1
34.52,9.098,19.5464,7017.1536,359.0001174535972,2
36.81,2.262,23.9378,7871.9782,328.85156442400654,3
42.36,1.159,13.1698,6920.2001,525.4592226640468,2
74.56,4.987,36.8317,9766.2424,265.15875558580115,1
40.09,1.251,42.2829,8989.5614,212.6053092445962,1
87.92,-4.371,8.0947,7293.1443,900.9793497081974,1
48.54,5.799,9.7174,5877.5304,604.8439426154964,3
8.2,-0.785,17.0361,5121.3069,300.6150121135377,1
94.05,-4.264,14.0803,8777.7747,623.4076380293401,2
34.29,-4.691,26.6237,6312.1672,237.08849249252083,1
51.93,8.97,37.6537,8984.3657,238.60510577976527,3
82.25,-1.219,39.6844,9639.5957,242.90668598230548,1
39.89,1.718,10.5016,8022.9608,763.9722263773773,3
6.79,9.259,8.8615,5647.2565,637.2774876865338,2
44.87,2.013,18.2483,7313.7574,400.79019061347105,1
113.33,-3.821,7.4714,10823.3556,1448.6332271366716,1
77.01,3.279,4.6807,9095.8874,1943.2859885364549,2
80.58,-3.677,12.2048,8531.4388,699.0221130013769,2
75.87,-3.574,19.7578,10219.6807,517.2480511670191,3
23.88,7.772,29.4333,8180.552,277.9352719480337,1
50.2,-0.659,36.1916,8488.3723,234.53976731321507,1
90.11,5.18,11.2183,9199.2953,820.0262125580234,1
12.16,2.634,40.9513,7843.3032,191.52746515702054,1
33.34,-1.665,1.7802,5550.5775,3118.0024262720553,2
33.16,2.767,22.2579,7619.7756,342.34034883518893,1
51.84,-3.965,31.6905,8305.8235,262.0917414639403,1
117.64,0.208,14.6341,10945.0537,747.9156507653115,1
8.1,2.843,34.2162,4765.7727,139.2839888621353,3
62.24,-1.574,43.366,8961.7175,206.65323205569155,3
21.52,4.903,4.5594,5915.3983,1297.4130519320836,3
116.48,-4.223,25.6768,11415.7913,444.59616779820504,2
13.6,2.272,1.0366,4117.7536,3972.180685228315,2
48.43,5.725,14.0508,6271.0935,446.3171291159615,2
88.55,1.449,6.9333,9368.1706,1351.1810681462077,1
84.55,8.119,31.2513,9626.7623,308.0433561076146,1
50.73,4.483,12.5093,7795.9973,623.2153633144363,2
41.58,9.377,14.1917,7422.2916,523.0034419270554,3
47.71,-0.738,10.361,5783.1797,558.1707078872507,1
31.71,9.082,12.2657,7103.0021,579.0925953725668,3
24.64,4.102,11.333,5606.997,494.74959184777947,1
57.96,6.178,34.9238,9324.5922,266.99837464657287,1
32.22,8.532,47.7949,7110.3859,148.76859550465608,3
34.5,3.268,24.5625,5755.0481,234.3017558113504,2
78.81,7.933,30.0594,10836.4621,360.5021961372128,3
116.22,3.125,40.9235,11636.6984,284.35249609616426,2
72.44,3.988,23.8577,9145.8717,383.3509893721473,2
9.24,1.676,15.171,6939.4046,457.4119888933776,1
9.07,-2.815,47.5536,6279.9556,132.06045159078246,1
114.17,3.303,45.3172,13496.7768,297.8289301036534,1
35.67,9.662,11.096,6143.0702,553.6316414905915,2
11.05,6.808,35.1835,7477.292,212.52259968106543,2
71.89,6.212,32.3923,10620.2405,327.8634940656058,3
74.84,4.65,32.5167,9473.4292,291.34061089996584,1
77.82,0.219,41.5471,10766.5149,259.14004355457126,1
32.09,-2.456,33.7379,7087.2481,210.06803370989056,2
115.8,-4.905,42.3187,11524.1611,272.3184732180869,2
30.11,5.102,13.3156,4914.2999,369.064297976752,3
